index,data
1227,6876
1228,6883
1229,6867
1230,6890
1231,6887
1232,6854
1233,6887
1234,6869
1235,6883
1236,6867
1237,6876
1238,6894
1239,6869
1240,6876
1241,6867
1242,6887
1243,6869
1244,6856
1245,6883
1246,6854
1247,6890
1248,6867
1249,6869
1250,6860
1251,6869
1252,6876
1253,6883
1254,6903
1255,6876
1256,6867
1257,6874
1258,6867
1259,6867
1260,6860
1261,6887
1262,6883
1263,6883
1264,6881
1265,6883
1266,6860
1267,6894
1268,6887
1269,6847
1270,6869
1271,6894
1272,6847
1273,6883
1274,6867
1275,6890
1276,6856
1277,6890
1278,6867
1279,6890
1280,6883
1281,6876
1282,6869
1283,6847
1284,6843
1285,6876
1286,6883
1287,6863
1288,6869
1289,6867
1290,6874
1291,6876
1292,6876
1293,6876
1294,6856
1295,6881
1296,6874
1297,6876
1298,6847
1299,6876
1300,6863
1301,6876
1302,6883
1303,6874
1304,6867
1305,6874
1306,6881
1307,6874
1308,6881
1309,6847
1310,6867
1311,6856
1312,6860
1313,6890
1314,6874
1315,6876
1316,6876
1317,6856
1318,6869
1319,6883
1320,6890
1321,6863
1322,6887
1323,6869
1324,6883
1325,6890
1326,6869
1327,6883
1328,6854
1329,6867
1330,6894
1331,6863
1332,6881
1333,6883
1334,6894
1335,6876
1336,6874
1337,6887
1338,6890
1339,6869
1340,6890
1341,6881
1342,6856
1343,6869
1344,6856
1345,6903
1346,6869
1347,6883
1348,6881
1349,6867
1350,6876
1351,6874
1352,6869
1353,6876
1354,6869
1355,6874
1356,6883
1357,6867
1358,6890
1359,6860
1360,6883
1361,5474
1362,5040
1363,5171
1364,6890
1365,6863
1366,6890
1367,6890
1368,6860
1369,6876
1370,6869
1371,6867
1372,6869
1373,6874
1374,6887
1375,6890
1376,6869
1377,6876
1378,6876
1379,6881
1380,6874
1381,6881
1382,6890
1383,6890
1384,6867
1385,6869
1386,6856
1387,6883
1388,6890
1389,6883
1390,6869
1391,6883
1392,6860
1393,6869
1394,6883
1395,6856
1396,6876
1397,6869
1398,6883
1399,6876
1400,6894
1401,6876
1402,6867
1403,6860
1404,6881
1405,6883
1406,6869
1407,6854
1408,6881
1409,6894
1410,6883
1411,6883
1412,6894
1413,6840
1414,6876
1415,6896
1416,6883
1417,6883
1418,6847
1419,6847
1420,6849
1421,6863
1422,6918
1423,6894
1424,6883
1425,6860
1426,6874
1427,6867
1428,6874
1429,6876
1430,6876
1431,6876
1432,6881
1433,6890
1434,6869
1435,6883
1436,6869
1437,6854
1438,6901
1439,6847
1440,6894
1441,6874
1442,6874
1443,6867
1444,6863
1445,6860
1446,6856
1447,6876
1448,6847
1449,6834
1450,6894
1451,6869
1452,6876
1453,6881
1454,6883
1455,6876
1456,6876
1457,6874
1458,6883
1459,6876
1460,6890
1461,6881
1462,6874
1463,6863
1464,6869
1465,6869
1466,6860
1467,6883
1468,6883
1469,6894
1470,6881
1471,6890
1472,6856
1473,6876
1474,6890
1475,6863
1476,6863
1477,6867
1478,6883
1479,6863
1480,6883
1481,6881
1482,6876
1483,6867
1484,6883
1485,6876
1486,6869
1487,6869
1488,6883
1489,6883
1490,6883
1491,6907
1492,6854
1493,6883
1494,6890
1495,6883
1496,6869
1497,6874
1498,6854
1499,6867
1500,6881
1501,6883
1502,6894
1503,6854
1504,6869
1505,6869
1506,6836
1507,6901
1508,6860
1509,6894
1510,6890
1511,6874
1512,6883
1513,6901
1514,6874
1515,6847
1516,6883
1517,6869
1518,6890
1519,6876
1520,6883
1521,6890
1522,6847
1523,6876
1524,6883
1525,6896
1526,6883
1527,6901
1528,6901
1529,6860
1530,6874
1531,6890
1532,6890
1533,6849
1534,6876
1535,6876
1536,6894
1537,6854
1538,6883
1539,6890
1540,6890
1541,6869
1542,6874
1543,6883
1544,6847
1545,6881
1546,6894
1547,6883
1548,6883
1549,6856
1550,6876
1551,6890
1552,6890
1553,6874
1554,6887
1555,6854
1556,6869
1557,6876
1558,6854
1559,6883
1560,6876
1561,6876
1562,6894
1563,6894
1564,6883
1565,6883
1566,6883
1567,6890
1568,6860
1569,6869
1570,6843
1571,6894
1572,6883
1573,6869
1574,6890
1575,6834
1576,6890
1577,6883
1578,6860
1579,6876
1580,6881
1581,6869
1582,6876
1583,6863
1584,6890
1585,6869
1586,6869
1587,6890
1588,6854
1589,6876
1590,6894
1591,6867
1592,6890
1593,6867
1594,6890
1595,6854
1596,6863
1597,6876
1598,6849
1599,6869
1600,6854
1601,6863
1602,6890
1603,6856
1604,6869
1605,6890
1606,6883
1607,6869
1608,6876
1609,6876
1610,6881
1611,6867
1612,6883
1613,6894
1614,6867
1615,6863
1616,6874
1617,6874
1618,6883
1619,6847
1620,6890
1621,6881
1622,6890
1623,6890
1624,6874
1625,6867
1626,6869
1627,6876
1628,6883
1629,6856
1630,6860
1631,6876
1632,6856
1633,6869
1634,6883
1635,6883
1636,6883
